,0,1
0,glasses,sunglasses
1,bag,purse
2,pant,trousers
3,coat,jacket
4,shoe,sandal
5,shoe,heel
6,heel,sandal
7,hoodie,jacket
8,shirt,dress
9,shirt,sweater
10,handbag,purse
11,bag,handbag
12,shoe,boot
13,pant,skirt
14,shirt,blouse
15,backpack,bag
16,shirt,clothes
17,boot,heel
18,shoe,sneaker
19,sandal,boot
20,shirt,shirt
21,pant,tights
22,pant,dress
23,trousers,tights
24,suit,pant
25,boot,boot
26,shoe,shoe
27,goggles,sunglasses
28,goggles,glasses
29,dress,suit
30,dress,robe
31,shirt,tshirt
32,dress,dress
33,dress,outfit
34,dress,costume
35,sneaker,boot
36,hat,hat
37,coat,clothes
38,jacket,clothes
39,sweater,jersey
40,scarf,dress
41,bag,bag
42,heel,heel
43,purse,purse
44,jacket,vest
45,uniform,jersey
46,skirt,dress
